commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
M2700,Contrail,M,hybrid,98,1524,10430,1730,,2645,5484,2.3,6034,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M2700-BS/
M2800,Contrail,M,hybrid,98,1524,10700,2210,,2570,4964,2.3,6060,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/M2800-BG/
M3000,AMW,M,reload,75,1039,6720,3819,Super Tiger,3000,4387,2.49,7367,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/AMW/ST-75-7600/
N2000,AeroTech,N,reload,98,1046,12280,7753,White Lightning,2000,3141,6.9,13350,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/N2000W/
N2500,Cesaroni,N,reload,98,1010,11670,6778,Classic,2562,3876,5.38,13770,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/13766N2500-P/
N4000,AMW,N,reload,98,1213,13670,7566,Blue Baboon,4000,,4.2,16460,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/BB-98-17500/
N4800,AeroTech,N,reload,98,1201,14780,9571,Blue Thunder,4800,6599,4.44,19360,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/AeroTech/N4800T/
O5100,Cesaroni,O,reload,161,803,23580,13250,,5113,6562,5.86,29990,Canadian Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Cesaroni/29990O5100-P/
O6300,Contrail,O,hybrid,152,1829,28580,5216,,6354,12730,4.29,27240,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/O6300-BS/
I1299,AeroTech,I,reload,38,249,422,192,Warp 9,1335,1851,0.316,422.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I1299N/
K1499,AeroTech,K,reload,75,260,1741,604,Warp 9,1500,1720,0.88,1322,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K1499N/
I364,AeroTech,I,reload,38,335,678,396,Black Max,373.8,487.3,1.52,570.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I364FJ/
I225,AeroTech,I,reload,38,240,486,264,Black Max,230.5,276.6,1.59,367.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I225FJ/
I305,AeroTech,I,reload,38,288,581,330,Black Max,313.5,418.2,1.44,452.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I305FJ/
K1999,AeroTech,K,reload,98,289,2989,1225,Warp 9,1887,2160,1.34,2540,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K1999N/
G339,AeroTech,G,reload,38,97,181,49,Warp 9,307.5,503.5,0.35,108.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/G339N/
J575,AeroTech,J,reload,38,478,914,576,Black Max,594,839.5,1.34,798.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J575FJ/
M1850,AeroTech,M,reload,75,923,6032,4122,White Lightning,1910,4489,4.01,7659,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/M1850W/
J1299,AeroTech,J,reload,54,231,834,371.6,Warp 9,1292,1468,0.653,843.4,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J1299N/
J1799,AeroTech,J,reload,54,330,1111,591,Warp 9,1963,2966,0.61,1215,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J1799N/
G71,AeroTech,G,reload,29,124,147,64,Redline,71,117,1.51,107,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AeroTech/G71R/
I195,AMW,I,reload,38,249,,192.2,White Wolf,200,238,1.8,358,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/WW-38-390/
I220,AMW,I,reload,38,249,,201.9,Skidmark,223,312,1.61,358,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/SK-38-390/
I325,AMW,I,reload,38,370,,316.8,White Wolf,328,402,1.81,594,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/WW-38-640/
F27,AeroTech,F,SU,29,83,80,28.4,Redline,24.4,37.7,2.03,49.6,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F27R%2FL/
G69,AeroTech,G,reload,38,106,201,62.2,Warp 9,72.3,87.3,1.88,136.7,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/G69N/
J825,AeroTech,J,reload,38,478,875,500,Redline,892.9,1244,1.15,974.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J825R/
M650,AeroTech,M,reload,75,801,5125,3351,White Lightning,656,1475,9.13,5964,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/M650W/
M750,AeroTech,M,reload,98,732,8776,5540,White Lightning,744,1454,12.65,9325,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/M750W/
L1400,AMW,L,reload,75,785,5204,2829,Skidmark,1391,1963,3.41,4744,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/SK-75-6000/
N2800,AMW,N,reload,98,1213,13810,7695,White Wolf,2764,3654,5.36,14800,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AMW/WW-98-17500/
I301,KBA,I,reload,38,370,725.5,310,White Lightning,302,433,1.84,554,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/I301W/
I550,KBA,I,reload,38,370,711.6,295,Redline,587,689,0.98,575,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/I550R/
K750,KBA,K,reload,54,727,2636,1499,White Lightning,752,1188,3.29,2468,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/K750W/
K1750,KBA,K,reload,54,727,2564,1441,Redline,1751,2070,1.38,2423,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/K1750R/
M1450,KBA,M,reload,75,1039,7615,4150,White Lightning,1432,2134,5.46,7813,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/M1450W/
M2900,KBA,M,reload,75,1039,7195,4265,Redline,2558,2979,2.07,5290,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/KBA/M2900R/
F45,Roadrunner,F,SU,29,93,93,30,Rapid propellant,45,62,1.4,61,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Roadrunner/F45/
G53,AeroTech,G,reload,29,124,146,60,Black Max,53.1,87.3,1.71,90.9,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/G53FJ/
H250,AeroTech,H,reload,29,238,256,116.3,Mojave Green,250,,0.9,231,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H250G/
I245,AeroTech,I,reload,38,202,365,181.3,Mojave Green,245,,1.4,351,Unknown,regular,http://www.thrustcurve.org/motors/AeroTech/I245G/
J500,AeroTech,J,reload,38,345,654,362.6,Mojave Green,500,,1.4,723,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/J500G/
K270,AeroTech,K,reload,54,579,2100,1188,White Lightning,249.8,438.4,7.87,1968,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/K270W/
I115,AeroTech,I,reload,54,156,545,219,White Lightning,115,,3.583,412,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I115W/
I229,AeroTech,I,reload,54,156,514,196,Blue Thunder,229,,1.777,407,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I229T/
I215,AeroTech,I,reload,54,156,527,208,Redline,215,,1.856,399,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/I215R/
